date,time,lat,loc
2017/11/2,17:51:42,3738.27,12712.76,
2017/11/2,17:51:44,3738.27,12712.76,
2017/11/2,17:51:46,3738.27,12712.76,
2017/11/2,17:51:48,3738.27,12712.76,
2017/11/2,17:51:50,3738.27,12712.77,
2017/11/2,17:51:52,3738.27,12712.77,
2017/11/2,17:51:54,3738.27,12712.77,
2017/11/2,17:51:56,3738.28,12712.77,
2017/11/2,17:51:58,3738.28,12712.77,
2017/11/2,17:52:0,3738.28,12712.77,
2017/11/2,17:52:2,3738.28,12712.77,
2017/11/2,17:52:4,3738.28,12712.77,
2017/11/2,17:52:6,3738.28,12712.77,
2017/11/2,17:52:8,3738.28,12712.77,
2017/11/2,17:52:10,3738.28,12712.77,
2017/11/2,17:52:12,3738.28,12712.77,
2017/11/2,17:52:14,3738.28,12712.77,
2017/11/2,17:52:16,3738.28,12712.77,
2017/11/2,17:52:18,3738.28,12712.77,
2017/11/2,17:52:20,3738.28,12712.77,
2017/11/2,17:52:22,3738.28,12712.77,
2017/11/2,17:52:24,3738.28,12712.78,
2017/11/2,17:52:26,3738.28,12712.78,
2017/11/2,17:52:28,3738.28,12712.78,
2017/11/2,17:52:30,3738.28,12712.78,
2017/11/2,17:52:32,3738.28,12712.78,
2017/11/2,17:52:34,3738.28,12712.78,
2017/11/2,17:52:36,3738.28,12712.78,
2017/11/2,17:52:38,3738.28,12712.78,
2017/11/2,17:52:40,3738.28,12712.78,
2017/11/2,18:33:1,3738.28,12712.78,
2017/11/2,18:33:3,3738.29,12712.78,
2017/11/2,18:33:5,3738.29,12712.79,
2017/11/2,18:33:7,3738.29,12712.79,
2017/11/2,18:33:9,3738.29,12712.78,
2017/11/2,18:33:11,3738.29,12712.77,
2017/11/2,18:33:13,3738.29,12712.77,
